,EMI,ROI,EligibleLoanAmount
0,1489.15,0.136442142,11100
2,825.275,0.215686275,7499.999999
11,132.5,0.116997792,6000.000001
12,12.71984,0.125491911,8700.000001
15,66.637575,0.24110192,19800
17,498.41625,0.111111111,21000
21,622.5,0.17184265,13500
23,28.478887,0.194782189,9000
26,1123.6,0.21929893,13989.3
27,368,0.084249084,24000
30,998.495505,0.090826439,13500
33,1256,0.072786277,47100
39,1450,0.126637555,34500
42,116.8932,0.224806202,1500.000001
46,600,0.130434783,11400
57,109.983544,0.203314213,33000
59,1119.968,0.137931034,9900
62,3393.6362,0.18699187,14010
63,1740,0.224806202,27000
66,143.76,0.130434783,3096
67,800.7,0.210671718,17197.2
68,197,0.164578112,9900
72,1169.55,0.206286213,30000
74,469.648389,0.242366846,19131.3
75,19.89864,0.222334552,17100
76,550,0.2,30900
77,615.44,0.09901793,23280
82,130.53264,0.226724405,15000
83,21.191112,0.228275969,11700
87,1199.6,0.230710055,12000
88,1279.6,0.242366846,22500
90,922.5,0.155761925,6599.999999
91,1127,0.243570348,8100
92,173.65,0.070199907,39000
93,44.732308,0.19929538,19500
101,277.92828,0.159310635,26700
102,1338,0.118010231,54000
107,66.637575,0.24110192,10200
109,246.8,0.109845113,21000
110,930,0.236641221,16800
112,162.611568,0.24110192,9299.999999
113,843.9261,0.224806202,15000
114,2145.34,0.138005344,25500
117,176.999115,0.081304548,9000
121,559.9972,0.122807018,22500
122,70,0.065420561,6000.000001
123,1502.4,0.111269108,8255.999999
127,70.796295,0.21537858,10608
128,24.8744,0.145299145,10500
130,2225,0.18200409,17400
132,1068.67044,0.110320285,14982.9
136,583.501945,0.162829636,12000
138,7.143618,0.230710055,13500
139,335.081269,0.230710055,6607.500001
140,504.5,0.091652284,17400
142,16.22735,0.126256007,17100
147,156.64,0.066467513,15009.6
150,539.49917,0.076638966,21000
155,2745,0.154691462,22800
156,935.0017,0.145299145,30600
157,223.136595,0.24110192,9000
159,646.497845,0.177293295,12577.5
162,234,0.072356215,27000
164,300,0.130434783,17850
165,836.99907,0.085086917,18900
171,598,0.084249084,20111.4
172,1417.6152,0.193548387,21000
173,1492.5,0.09049568,13017.9
178,528,0.193548387,12000
179,89.931345,0.235064637,16500
184,1.56,0.2,720
188,179.9928,0.152542373,3600
191,159.27,0.230769231,13500
193,95.5512,0.18699187,9000
194,987.62,0.206286213,15000
197,486.301621,0.139488856,7499.999999
198,772.497425,0.204771372,36000
