BorrowerAPR,CreditScoreRangeLower,CreditScoreRangeUpper,LP_CustomerPrincipalPayments,EstimatedReturn,LenderYield,LP_CustomerPayments,EstimatedLoss,BorrowerRate
0.156951914,0.840909091,0.840909091,0.178571429,0.513936535,0.164179104,0.173932076,0.029354749,0.165829146
0.394080196,0.704545455,0.704545455,0.007308571,0.622761437,0.404975124,0.009624921,0.247189299,0.398994975
0.575826479,0.659090909,0.659090909,0.033388857,0.622761437,0.587064677,0.05457374,0.247189299,0.582914573
0.565505378,0.704545455,0.704545455,0.033942286,0.683962264,0.512238806,0.059242975,0.277208529,0.517386935
0.530073553,0.795454545,0.795454545,0.242857143,0.700900515,0.495323383,0.259795049,0.232899474,0.500301508
0.581204524,0.568181818,0.568181818,0.008757429,0.622761437,0.582089552,0.017544637,0.247189299,0.577889447
0.351965359,0.772727273,0.772727273,0.428571429,0.622761437,0.338308458,0.471929312,0.247189299,0.341708543
0.585890541,0.840909091,0.840909091,0.008737429,0.626072041,0.525174129,0.021553998,0.325671559,0.530452261
0.162764948,0.977272727,0.977272727,0.314285714,0.622761437,0.173134328,0.292540376,0.247189299,0.164824121
0.148034641,0.863636364,0.863636364,0.042855143,0.504288165,0.155223881,0.038794742,0.029354749,0.15678392
0.277167036,0.795454545,0.795454545,0.257142857,0.622761437,0.263681592,0.244071082,0.247189299,0.266331658
0.531892597,0.795454545,0.795454545,0.014964571,0.711620926,0.497114428,0.043304782,0.221545278,0.502110553
0.309257355,0.840909091,0.840909091,1.0,0.560891938,0.27840796,0.8688068,0.110772639,0.28120603
0.550379627,0.772727273,0.772727273,0.027957429,0.730488851,0.515223881,0.099143488,0.22182221,0.52040201
0.104278709,0.954545455,0.954545455,0.1,0.444253859,0.099303483,0.086738299,0.029354749,0.100301508
0.466604714,0.75,0.75,0.006378857,0.700471698,0.43761194,0.016339127,0.155358626,0.44201005
0.660234103,0.75,0.75,0.114285714,0.642152659,0.598208955,0.102344098,0.394904459,0.604221106
0.226451281,0.886363636,0.886363636,0.085714286,0.539236707,0.199004975,0.085663977,0.044585987,0.201005025
0.69487504,0.75,0.75,0.114285714,0.653516295,0.632238806,0.131570916,0.450290778,0.638592965
0.4424826,0.727272727,0.727272727,0.034285714,0.648156089,0.3960199,0.034444143,0.16643589,0.4
0.243455394,0.75,0.75,0.034285714,0.622761437,0.228855721,0.033956731,0.247189299,0.231155779
0.691830117,0.772727273,0.772727273,0.214285714,0.710548885,0.636616915,0.230630387,0.393519801,0.643015075
0.650506169,0.75,0.75,0.001023429,0.661234991,0.588656716,0.002132182,0.393519801,0.594572864
0.395839924,0.590909091,0.590909091,0.085714286,0.622761437,0.382089552,0.090838313,0.247189299,0.385929648
0.727617842,0.636363636,0.636363636,0.006676571,0.622761437,0.696517413,0.017101446,0.247189299,0.703517588
0.376660867,0.75,0.75,0.085714286,0.622761437,0.348258706,0.085582414,0.247189299,0.351758794
0.292134609,0.795454545,0.795454545,0.071428571,0.622761437,0.278606965,0.075537883,0.247189299,0.281407035
0.215457925,0.954545455,0.954545455,0.228571429,0.540737564,0.188059701,0.202024627,0.027970091,0.189949749
0.589568175,0.75,0.75,0.0164,0.622761437,0.55960199,0.028188115,0.247189299,0.565226131
0.185997311,0.931818182,0.931818182,0.085714286,0.622761437,0.19641791,0.080356487,0.247189299,0.188341709
0.172136982,0.818181818,0.818181818,0.057142857,0.622761437,0.179104478,0.052643744,0.247189299,0.170854271
0.504310345,0.704545455,0.704545455,0.032630571,0.704545455,0.470049751,0.084218936,0.193852119,0.474773869
0.489698671,0.681818182,0.681818182,0.114285714,0.622761437,0.47761194,0.139006905,0.247189299,0.48241206
0.46648608,0.75,0.75,0.055485429,0.609133791,0.407761194,0.077907141,0.232899474,0.411859296
0.383680006,0.772727273,0.772727273,0.057143143,0.605274443,0.355223881,0.057725462,0.16643589,0.35879397
0.304551566,0.931818182,0.931818182,0.714285714,0.585763293,0.276616915,0.676792186,0.091664359,0.279396985
0.607204998,0.659090909,0.659090909,0.142857429,0.622761437,0.577114428,0.185466113,0.247189299,0.582914573
0.756149162,0.704545455,0.704545455,0.042857143,0.680317324,0.691542289,0.059770432,0.493215176,0.698492462
0.336760519,0.795454545,0.795454545,0.003306286,0.552894511,0.305472637,0.014523768,0.152312379,0.308542714
0.530073553,0.75,0.75,0.257142857,0.700900515,0.495323383,0.264049836,0.232899474,0.500301508
0.303721133,0.727272727,0.727272727,0.157142857,0.622761437,0.314427861,0.159484372,0.247189299,0.307537688
0.323018823,0.659090909,0.659090909,0.029286,0.622761437,0.28318408,0.031523353,0.247189299,0.306130653
0.303543183,0.840909091,0.840909091,0.1,0.555531732,0.275621891,0.10575181,0.124896151,0.27839196
0.15327428,0.840909091,0.840909091,0.028571429,0.622761437,0.133134328,0.024717266,0.247189299,0.134472362
0.69487504,0.772727273,0.772727273,0.011902286,0.658876501,0.632238806,0.025663102,0.443367488,0.638592965
0.222338659,0.840909091,0.840909091,0.114286286,0.622761437,0.208955224,0.115045813,0.247189299,0.211055276
0.139928029,0.863636364,0.863636364,0.153843143,0.622761437,0.140298507,0.157136489,0.247189299,0.141708543
0.119088105,0.977272727,0.977272727,0.072857143,0.622761437,0.129353234,0.067759183,0.247189299,0.120603015
0.246282822,0.840909091,0.840909091,0.214285714,0.49635506,0.218706468,0.201914812,0.123511493,0.220904523
0.21043578,0.818181818,0.818181818,0.088571429,0.522084048,0.183084577,0.083392251,0.044585987,0.184924623
0.288773331,0.795454545,0.795454545,0.485714,0.622761437,0.278606965,0.511413657,0.247189299,0.281407035
0.178642044,0.909090909,0.909090909,0.114285714,0.622761437,0.189054726,0.104302347,0.247189299,0.180904523
