,LP_CustomerPayments,𝐿𝑜𝑎𝑛𝐷𝑎𝑡𝑒𝑦𝑒𝑎𝑟,month,𝑀𝑎𝑡𝑢𝑟𝑖𝑡𝑦𝐷𝑎𝑡𝑂𝑟𝑖𝑔𝑖𝑛𝑎𝑙𝑦𝑒𝑎𝑟,𝑀𝑎𝑡𝑢𝑟𝑖𝑡𝑦𝐷𝑎𝑡𝑒𝑂𝑟𝑖𝑔𝑖𝑛𝑎𝑙𝑚𝑜𝑛𝑡ℎ,LP_CustomerPrincipalPayments,TradesNeverDelinquent (percentage),AvailableBankcardCredit,TotalInquiries,InterestAmount,TotalAmount,StatedMonthlyIncome,DebtToIncomeRatio,IncomeVerifiable,LoanOriginalAmount,BorrowerRate,LoanTenure
0,11396.14,1970,1,2007,9,9425,0.81,1500,3,1489.15,10914.15,3083.333333,0.17,1,9425,0.158,436
2,4186.63,1970,1,2007,1,3001,0.857547825,10761.7755,1,825.275,3826.275,2083.333333,0.06,1,3001,0.275,444
11,1011.65,1970,1,2007,10,1000,0.4,2580,5,132.5,1132.5,1666.666667,0.27,1,1000,0.1325,435
12,135.8174,1970,1,2014,1,88.64,1,3626,4,574,4574,2416.666667,0.18,1,4000,0.1435,528
15,521.13,1970,1,2012,4,209.75,0.94,178,1,1270.8,5270.8,5500,0.49,1,4000,0.3177,501
17,5325.33,1970,1,2006,8,3987.33,0.857547825,10761.7755,17,1250,11250,5833.333333,0.12,1,10000,0.125,425
21,4061.05,1970,1,2007,12,3000,0.37,1366,8,622.5,3622.5,3750,0.09,1,3000,0.2075,433
23,236.01,1970,1,2013,4,117.73,1,607,0,483.8,2483.8,2500,0.39,1,2000,0.2419,513
26,4725.35,1970,1,2013,2,4000,1,3619,3,1123.6,5123.6,3885.916667,0.11,1,4000,0.2809,515
27,4594.48,1970,1,2010,6,4000,1,30794,8,368,4368,6666.666667,0.26,1,4000,0.092,475
30,10681.27,1970,1,2012,2,9994.95,0.72,25779,0,999,10999,3750,0.11,1,10000,0.0999,503
33,17544.95,1970,1,2010,10,16000,0.92,3859,3,1256,17256,13083.33333,0.05,1,16000,0.0785,471
39,12688.13,1970,1,2006,7,10000,0.857547825,10761.7755,3,1450,11450,9583.333333,0.06,1,10000,0.145,426
42,817.18,1970,1,2007,2,403.08,0.857547825,10761.7755,9,435,1935,416.666667,0.27,1,1500,0.29,443
46,4667.64,1970,1,2008,8,4000,0.81,2031,7,600,4600,3166.666667,0.27,1,4000,0.15,449
57,890.63,1970,1,2012,1,430.97,0.96,4444,11,510.4,2510.4,9166.666667,0.15,1,2000,0.2552,504
59,8861.23,1970,1,2007,9,6999.8,0.91,10778,2,1120,8120,2750,0.37,1,7000,0.16,436
62,23511.66,1970,1,2007,4,14754.94,1,5874,6,5405,28905,3891.666667,0.59,1,23500,0.23,441
63,6828.36,1970,1,2006,10,6000,0.857547825,10761.7755,20,1740,7740,7500,0.25,1,6000,0.29,423
66,1440.27,1970,1,2007,4,958.4,0.53,19407,2,150,1150,860,0.2,1,1000,0.15,441
67,3394.57,1970,1,2011,6,3000,0.92,955,7,800.7,3800.7,4777,0.28,1,3000,0.2669,487
68,1294.98,1970,1,2007,3,1000,0.92,181,23,197,1197,2750,0.45,1,1000,0.197,442
72,6139.2,1970,1,2011,5,4500,0.7,4814,5,1169.55,5669.55,8333.333333,0.1,1,4500,0.2599,488
74,2721.75,1970,1,2011,3,1468.11,0.7,2006,3,799.75,3299.75,5314.25,0.21,1,2500,0.3199,490
75,166.73,1970,1,2013,7,69.6,1,2408,2,1143.6,5143.6,4750,0.26,1,4000,0.2859,510
76,2711.61,1970,1,2006,7,2200,0.857547825,10761.7755,28,550,2750,8583.333333,0.13,1,2200,0.25,426
77,6106.15,1970,1,2011,2,5600,1,7682,5,615.44,6215.44,6466.666667,0.18,1,5600,0.1099,491
82,1006.7068,1970,1,2013,7,445.2,0.88,535,5,1172.8,5172.8,4166.666667,0.12,1,4000,0.2932,510
83,168.89,1970,1,2012,6,71.64,0.6,33982,3,1183.2,5183.2,3250,0.35,1,4000,0.2958,499
87,5581.71,1970,1,2012,6,4000,0.89,3031,10,1199.6,5199.6,3333.333333,0.4,1,4000,0.2999,499
88,4650.78,1970,1,2011,11,4000,1,43,4,1279.6,5279.6,6250,0.23,1,4000,0.3199,482
90,6183.96,1970,1,2006,11,5000,0.857547825,10761.7755,4,922.5,5922.5,1833.333333,0.13,1,5000,0.1845,422
91,4479.23,1970,1,2010,12,3500,1,1193,2,1127,4627,2250,0.3,1,3500,0.322,469
92,2401.65,1970,1,2006,7,2300,0.857547825,10761.7755,3,173.65,2473.65,10833.33333,0.08,1,2300,0.0755,426
93,615.03,1970,1,2012,6,179.72,0.96,10975,2,1742.3,8742.3,5416.666667,0.43,1,7000,0.2489,499
101,2225.4,1970,1,2008,1,1466.64,0.7,4259,18,555.614,3487.614,7416.666667,0.36,1,2932,0.1895,456
102,12197.15,1970,1,2009,9,10000,0.85,9420,4,1338,11338,15000,0.16,1,10000,0.1338,460
107,521.13,1970,1,2012,4,209.75,1,16554,9,1270.8,5270.8,2833.333333,0.54,1,4000,0.3177,501
109,2275.69,1970,1,2010,1,2000,0.93,596,3,246.8,2246.8,5833.333333,0.18,1,2000,0.1234,480
110,4349.72,1970,1,2010,11,3000,0.81,258,3,930,3930,4666.666667,0.29,1,3000,0.31,470
112,1518.39,1970,1,2012,4,511.84,1,40,4,1270.8,5270.8,2583.333333,0.45,1,4000,0.3177,501
113,4641.92,1970,1,2007,2,2910.09,0.06,0,8,870,3870,4166.666667,0.04,1,3000,0.29,443
114,16590.14,1970,1,2007,8,13400,0.84,1372,3,2145.34,15545.34,7083.333333,0.16,1,13400,0.1601,437
117,2290.05,1970,1,2008,3,1999.99,1,113,1,177,2177,2500,0.1,1,2000,0.0885,454
121,4905.1,1970,1,2008,1,3999.98,0.6,443,9,560,4560,6250,0.31,1,4000,0.14,456
122,1042.75,1970,1,2006,7,1000,0.857547825,10761.7755,0,70,1070,1666.666667,0.13,1,1000,0.07,426
123,12835.45,1970,1,2008,9,12000,1,8486,6,1502.4,13502.4,2293.333333,0.19,1,12000,0.1252,448
127,613.56,1970,1,2008,3,257.91,0.6,0,18,700.2495,3251.2495,2946.666667,0.17,1,2551,0.2745,454
128,217.61,1970,1,2006,11,146.32,0.857547825,10761.7755,5,170,1170,2916.666667,0.03,1,1000,0.17,422
130,10809.1941,1970,1,2013,9,10000,0.9,4034,3,2225,12225,4833.333333,0.37,1,10000,0.2225,508
132,10373.47,1970,1,2008,3,8618.31,0.78,3055,3,1066.4,9666.4,4161.916667,0.34,1,8600,0.124,454
136,3985.53,1970,1,2008,7,3000.01,0.66,4368,8,583.5,3583.5,3333.333333,0.11,1,3000,0.1945,450
