,LoanStatus
0,1
2,1
11,1
12,1
15,1
17,0
21,1
23,0
26,1
27,1
30,1
33,1
39,1
42,0
46,1
57,0
59,1
62,0
63,1
66,1
67,1
68,1
72,1
74,0
75,0
76,1
77,1
78,0
82,1
83,0
87,1
88,1
90,1
91,1
92,1
93,0
100,0
101,0
102,1
103,0
105,0
107,1
108,1
109,1
110,1
112,0
113,1
114,1
117,1
121,1
122,1
123,1
127,0
128,1
130,1
131,1
132,1
136,1
138,1
139,1
140,1
142,0
146,1
147,1
150,1
155,1
156,1
157,0
159,1
162,1
164,1
165,1
170,1
171,1
172,0
173,1
178,1
179,1
184,0
185,1
186,0
188,1
191,1
193,0
194,1
197,1
198,1
200,0
201,1
206,1
210,1
213,0
215,0
217,0
218,1
219,1
220,0
222,1
223,1
226,1
230,1
239,1
240,1
241,1
242,1
245,1
247,1
248,1
249,0
250,1
251,0
252,0
253,1
255,1
258,1
259,1
260,0
261,1
262,0
264,1
265,1
266,0
267,1
269,1
271,1
273,1
275,1
280,1
283,1
284,0
287,1
292,1
293,1
297,0
298,1
302,0
303,0
305,1
308,0
309,1
310,1
314,1
319,1
320,0
324,0
325,1
326,1
328,0
330,0
332,1
335,1
336,1
338,1
339,1
341,0
342,0
344,0
345,1
346,1
348,1
353,1
354,1
356,1
360,1
361,1
362,1
363,1
366,0
367,1
368,1
369,0
370,0
371,1
372,0
375,0
379,1
380,1
381,1
383,1
384,0
385,1
386,1
387,1
390,1
391,1
393,1
395,1
396,1
397,0
399,0
400,1
401,1
403,0
404,0
405,1
406,0
407,1
408,1
410,1
411,1
412,1
414,1
415,1
419,1
420,1
421,1
422,1
423,0
424,0
425,1
427,1
428,0
429,1
432,1
436,0
438,0
440,1
441,0
443,1
448,1
449,1
451,1
452,0
456,1
458,1
459,1
460,1
464,0
466,1
468,1
469,0
470,0
478,0
480,1
482,0
486,1
487,1
488,0
489,0
490,0
492,1
493,0
494,0
497,1
498,1
499,1
500,1
501,0
508,1
512,1
516,1
519,1
521,1
522,1
523,1
525,1
526,1
527,1
528,1
531,1
533,1
535,1
536,1
537,1
538,0
541,1
543,0
545,1
546,1
549,1
551,1
553,1
555,0
558,1
561,1
565,1
567,1
568,0
571,1
574,1
575,1
576,1
577,0
582,1
584,1
585,1
588,1
589,0
590,0
591,1
594,1
596,1
597,1
598,1
600,1
605,0
607,0
608,1
613,1
615,0
617,1
619,1
622,1
623,0
625,1
627,1
628,1
631,1
632,1
634,1
635,0
644,1
645,1
647,1
650,1
651,1
652,0
654,1
655,1
656,1
658,1
663,0
666,1
667,0
670,0
673,1
675,1
677,1
679,1
683,1
688,1
694,1
698,1
702,1
703,1
706,1
707,0
710,1
713,0
716,1
717,1
718,1
719,1
720,1
721,1
722,0
724,1
725,1
726,1
727,1
728,1
730,1
732,0
735,1
739,1
743,1
745,1
747,0
750,1
751,1
752,1
753,1
754,1
755,1
757,1
758,1
760,1
762,1
768,1
772,1
777,0
780,1
781,1
782,1
784,0
785,0
789,0
790,1
792,0
794,1
795,1
796,1
797,1
800,0
802,1
803,1
804,1
807,1
809,1
810,1
813,1
816,0
818,1
819,0
820,1
821,1
824,0
826,1
827,1
830,1
835,0
836,0
839,1
842,1
845,1
846,1
847,1
849,1
852,1
853,1
855,1
858,1
859,0
861,1
862,1
865,1
868,1
873,1
876,1
878,1
880,1
881,0
884,1
885,1
888,0
893,0
895,0
897,1
898,1
902,0
904,1
905,1
912,1
913,1
916,1
917,1
918,1
920,0
921,1
922,1
923,1
925,0
927,1
928,1
931,1
934,0
935,1
939,1
941,1
942,1
944,0
946,0
948,1
950,1
951,1
952,1
954,1
955,1
957,1
959,1
960,1
962,0
972,1
973,1
974,1
975,0
977,1
980,1
982,1
983,0
987,1
988,1
990,1
991,1
992,1
994,1
996,1
1004,0
1005,1
1006,1
1009,1
1013,1
1018,1
1020,1
1022,1
1023,1
1024,0
1025,1
1028,1
1032,1
1034,1
1038,0
1040,1
1041,1
1043,0
1044,1
1045,0
1048,1
1049,0
1051,1
1052,1
1054,1
1055,1
1056,1
1058,0
1062,0
1063,1
1064,1
1065,1
1067,1
1069,0
1070,1
1073,1
1076,0
1081,1
1082,1
1083,1
1084,1
1086,1
1090,0
1091,0
1095,0
1096,0
1100,1
1101,0
1102,0
1103,0
1105,1
1112,1
1114,1
1115,1
1117,1
1119,0
1120,1
1126,1
1127,1
1131,1
1132,1
1134,0
1136,0
1137,1
1138,1
1139,1
1141,1
1142,1
1144,1
1145,1
1148,1
1149,1
1155,1
1157,1
1159,0
1160,0
1162,0
1163,1
1164,1
1165,1
1166,1
1169,1
1171,0
1172,1
1173,1
1175,0
1179,1
1184,0
1192,0
1193,0
1194,1
1200,0
1202,1
1203,1
1207,1
1208,1
1209,1
1210,1
1211,0
1212,1
1213,0
1217,1
1218,0
1221,0
1222,1
1224,1
1228,1
1231,0
1233,0
1234,1
1236,1
1239,1
1242,1
1243,1
1247,0
1248,0
1249,1
1250,1
1253,1
1256,1
1258,1
1259,0
1260,1
1266,1
1268,1
1271,1
1272,1
1277,0
1278,0
1281,1
1282,1
1284,1
1285,1
1286,1
1289,1
1290,1
1291,1
1293,1
1295,1
1301,1
1303,1
1304,1
1306,1
1309,1
1310,1
1312,0
1313,1
1316,0
1319,0
1321,1
1323,1
1324,1
1326,1
1328,1
1329,0
1332,1
1333,1
1342,0
1343,1
1346,1
1349,0
1350,1
1351,1
1352,1
1353,1
1356,1
1358,1
1360,1
1361,0
1362,0
1363,0
1364,1
1372,0
1373,0
1377,1
1384,0
1385,1
1391,1
1393,0
1395,1
1401,1
1404,1
1406,0
1407,1
1410,1
1412,1
1413,1
1415,1
1417,0
1418,1
1419,1
1420,1
1423,1
1424,1
1425,1
1428,1
1431,0
1434,1
1435,1
1437,1
1438,1
1441,1
1443,1
1446,1
1448,1
1450,1
1452,1
1455,1
1459,0
1464,1
1468,1
1471,1
1478,0
1482,1
1484,1
1485,0
1489,1
1490,1
1492,1
1496,0
1497,0
1502,1
1503,1
1504,1
1508,1
1509,1
1510,0
1513,1
1515,0
1518,1
1521,0
1522,1
1523,1
1525,1
1527,1
1529,1
1530,0
1531,1
1533,0
1534,1
1535,1
1539,1
1540,1
1541,1
1543,1
1544,0
1545,0
1547,1
1548,1
1549,1
1550,0
1558,0
1560,1
1563,1
1569,1
1570,0
1571,1
1574,1
1576,1
1580,1
1584,1
1585,0
1586,1
1587,1
1588,1
1589,1
1590,1
1591,1
1592,1
1594,1
1598,0
1603,1
1604,0
1605,1
